,address,price,size,longitude,latitude
0,205-591 Yonge Street,"2,599,900",2223 sqft,-79.384888,43.666138
1,305-334 Adelaide Street W,"888,000",873 sqft,-79.392487,43.647629
2,313-15 Wellesley Street W,"699,000",535 sqft,-79.385490,43.664539
3,203-222 Finch Avenue W,"428,800",707 sqft,-79.434563,43.775829
4,204-28 Finch Avenue W,"269,000",410 sqft,-79.418327,43.779373
5,202-80 Nashdene Road,"239,900",830 sqft,-79.253571,43.818985
6,415-120 Carlton Street,"489,999",1120 sqft,-79.376419,43.662621
7,111-18 Wynford Drive,,— sqft,-79.337311,43.723858
8,101-800 Bathurst Street,"419,999",784 sqft,-79.411690,43.665501
9,102/202-1352 Bathurst Street,,— sqft,-79.417160,43.679672
10,21-4801 Steeles Avenue W,"879,900",1250 sqft,-79.541458,43.770710
11,1120-4789 Yonge Street,"849,900",1165 sqft,-79.410072,43.760944
12,1588 Bloor Street W,,— sqft,-79.454666,43.656044
13,1001-4789 Yonge Street,"569,000",1006 sqft,-79.410072,43.760944
14,410-18 Wynford Drive,495,1082 sqft,-79.337311,43.723858
15,409-18 Wynford Drive,495,1082 sqft,-79.337311,43.723858
16,408-18 Wynford Drive,495,1082 sqft,-79.337311,43.723858
17,407-18 Wynford Drive,495,1082 sqft,-79.337311,43.723858
18,406-18 Wynford Drive,495,1082 sqft,-79.337311,43.723858
19,405-18 Wynford Drive,495,1758 sqft,-79.337311,43.723858
20,404-18 Wynford Drive,495,1494 sqft,-79.337311,43.723858
21,403-18 Wynford Drive,495,1787 sqft,-79.337311,43.723858
22,405-2225 Markham Road,"329,000",440 sqft,-79.243088,43.808735
23,1 &2-16 Mcadam Avenue,,— sqft,-79.457123,43.722916
24,402-255 Duncan Mill Road,"698,888",1586 sqft,-79.351624,43.761597
25,423-445-130 Queens Quay Street E,,— sqft,-79.368317,43.644360
26,5395 Eglinton Avenue W,,— sqft,-79.588478,43.664097
27,282 Richmond Street E,,— sqft,-79.369858,43.653389
28,301&303-23 Lesmill Road,"2,000,000",4188 sqft,-79.352760,43.756603
29,905 Queen Street W,"4,098,000",3313 sqft,-79.418015,43.644333
30,308-120 Carlton Street,"395,000",815 sqft,-79.376419,43.662621
31,604-130 Queen Quay E,"999,000",1115 sqft,-79.368317,43.644360
