,price,address,beds,baths,size,longitude,latitude
9,2104,448 Spadina Road,1,1,,-79.413197,43.689322
23,3204,153 Vaughan Road,3,1,912 ,-79.421545,43.685423
24,3662,34 Noble Street,1,1,831 ,-79.431342,43.642877
25,1508,5 Thorburn Avenue,0,1,,-79.426355,43.635321
42,2650,40 Alexander Street,1,1,683 ,-79.382012,43.663292
53,2400,310 Roncesvalles Avenue,1,1,,-79.450425,43.6492
55,2300,2373 Bloor Street West,1,1,,-79.482382,43.649661
64,1950,196 Eglinton Avenue East,1,1,447 ,-79.392293,43.708335
65,4600,28 Freeland Street,2,2,1400 ,-79.373846,43.643907
66,2450,2221 Yonge Street,1,1,599 ,-79.397957,43.70603
67,1875,1299 Bayview Avenue,0,1,360 ,-79.371767,43.698027
68,2025,223 Woodbine Ave,1,1,575 ,-79.305671,43.669434
69,5555,30 Soudan Ave,1,1,,-79.396486,43.704668
70,2945,140 Erskine Avenue,2,1,815 ,-79.393627,43.712342
72,2475,110 Erskine Avenue,1,1,595 ,-79.395189,43.712104
73,2895,160 Erskine Avenue,2,1,815 ,-79.393001,43.712587
74,1950,890 Mount Pleasant Road,0,1,332 ,-79.391195,43.710736
75,2750,440 Eglinton Avenue East,2,1,917 ,-79.385182,43.709423
76,2625,305 Roehampton Avenue,1.5,1,615 ,-79.388663,43.709622
78,2100,81 Isabella Street,1,1,519 ,-79.381314,43.668388
81,2210,2 Glenhaven Street,1,1,597 ,-79.469902,43.691757
83,2845,151 Dan Leckie Way,1.5,1,800 ,-79.397947,43.639783
84,4200,1900 Bayview Avenue,2,2.5,1071 ,-79.3786,43.71789
85,2595,15 Merchants Wharf,1,1,559 ,-79.364159,43.645271
88,2430,31 Phipps Street,1,1,475 ,-79.386767,43.664937
89,4100,91 Balliol Street,3,2.5,2114 ,-79.394956,43.69789
90,2495,101 Erskine Avenue,1.5,1,550 ,-79.395323,43.711538
91,3995,540 Street Clarens Avenue,3.5,2,2000 ,-79.442967,43.661702
92,2250,100 Vaughan Road,1,1,583 ,-79.42164,43.683797
93,3120,42 Glen Elm Avenue,2,1,,-79.392833,43.691967
94,3750,495 Logan Ave.,2,2,,-79.3451,43.667287
96,2180,188 Jameson Avenue,1,1,581 ,-79.437116,43.639125
98,3456,39 Niagara St.,1,1,,-79.400819,43.641654
99,2200,800 Richmond Street West,1,1,500 ,-79.409947,43.64498
100,2495,1030 King Street West,1.5,1,600 ,-79.415905,43.641581
102,2650,280 Howland Avenue,1,1,601 ,-79.412025,43.673508
103,3450,36 Castle Frank Road,2,1,1050 ,-79.36972,43.676613
105,2700,88 Harbour St,1,1,550 ,-79.379082,43.642187
106,3800,8 The Esplanade,2,2,850 ,-79.376394,43.646076
107,2400,458 Richmond St W,1,1,550 ,-79.397535,43.647923
108,3000,1 Yorkville Ave.,1.5,2,699 ,-79.387794,43.671625
109,3800,488 University Ave.,2,2,799 ,-79.388916,43.655156
111,2450,15 Lower Jarvis St,1,1,500 ,-79.369341,43.64529
112,2795,83 Redpath Ave,1.5,1,633 ,-79.392045,43.706629
113,2650,101 Erskine Avenue,1.5,2,739 - 741 ,-79.395448,43.711879
116,3800,120 Homewood Ave,2.5,2,1085 ,-79.376298,43.667145
117,2450,44 St Joseph Street,1.5,1,567 ,-79.387295,43.665876
118,2650,270 Wellington Street West,1.5,1,745 ,-79.391341,43.64505
120,3300,15 Lower Jarvis Street,2,2,850 ,-79.369032,43.64404
121,2850,20 Blue Jays Way,1,1,560 ,-79.392133,43.644309
124,2300,89 McGill Street,1,1,427 ,-79.378253,43.660825
126,2999,60 Colborne Street,2,2,744 ,-79.374567,43.649302
127,2650,60 Princess St,1.5,2,550 ,-79.366017,43.649108
128,2650,30 Ordnance St,1,1,550 ,-79.409325,43.639391
129,2400,140 Broadview Ave,1,1,550 ,-79.350447,43.659899
130,2300,642 Vaughan Road,1,1,,-79.441693,43.692889
131,2195,28 Ted Rogers Way,1.5,1,720 ,-79.380609,43.670587
132,3550,381 Front St W,2.5,2,850 ,-79.392662,43.642808
133,3650,95 Lombard St,2.5,2,1100 ,-79.37335,43.652004
134,3300,1765 Queen St E,2,2,950 ,-79.309695,43.667711
136,2940,330 Spadina Road,1,1,850 ,-79.411206,43.683626
140,5495,355 St. Clair Avenue West,2,1,1270 ,-79.412699,43.684664
148,2600,501 Adelaide St,1,1,550 ,-79.401338,43.645376
153,3600,599 Roehampton Avenue,2,3,1802 ,-79.379629,43.71144
154,2450,35 Rolling Mills Road,1.5,1,525 ,-79.355444,43.652948
155,1750,1510 King Street West,1,1,,-79.440809,43.636724
156,1400,229 Carlton Street,0,1,,-79.368599,43.663946
157,2775,135 Isabella Street,2,1,643 ,-79.377399,43.668988
160,2244,210 Wychwood Avenue,1,1,620 ,-79.424454,43.68443
161,2532,12 & 14 Rusholme Drive,1,1,649 ,-79.428493,43.65043
163,1718,5 Glenavon Road,1,1,257 ,-79.43894,43.635531
164,2199,7 Glazebrook Avenue,1,1,650 ,-79.378359,43.712826
165,2099,5 Donlands Avenue,1,1,620 ,-79.337259,43.680697
166,5500,20 Edward Street,3,2,1035 ,-79.382122,43.656967
167,2700,100 Western Battery Rd,1.5,1,650 ,-79.415811,43.639519
168,2700,10 York St,1,1,550 ,-79.381225,43.641098
171,3200,45 Balliol Street,2,1,938 ,-79.394802,43.69765
172,2600,80 Queens Wharf Rd,1,1,550 ,-79.400027,43.638599
173,2100,150 Broadview Ave.,0,1,,-79.350701,43.660088
176,2524,130 Raglan Avenue,1,1,529 ,-79.421215,43.687029
179,2645,70 Temperance Street,1,1,500 ,-79.382148,43.65053
180,2000,549 Indian Road,0,1,,-79.456525,43.656649
181,3600,111 Bathurst St,2,1,750 ,-79.4026,43.644768
183,2500,151 Dan Leckie Way,1,1,550 ,-79.397947,43.639783
184,2400,55 Regent Park Blvd,1,1,550 ,-79.361018,43.659437
185,3500,30 Grand Trunk Cres,2,2,850 ,-79.382787,43.642282
187,2700,50 Bruyeres Mews,1,1,550 ,-79.402138,43.637672
188,2250,111 Lawton Boulevard,1,1,589 ,-79.396619,43.694019
189,2400,20 Joe Shuster Way,1,1,500 ,-79.42648,43.640569
190,1795,550 Jarvis Street,0,1,335 ,-79.379949,43.669228
191,2250,143 Arlington Avenue,1,1,478 - 489 ,-79.429059,43.681988
192,2400,36 Blue Jays Way,1,1,448 ,-79.392044,43.644937
193,3700,290 Adelaide St W,2,2,1100 ,-79.391145,43.648002
195,3500,1030 King St W,2,2,750 ,-79.415905,43.641581
196,2700,65 Bremner Blvd,1,1,650 ,-79.380521,43.642629
197,2500,30 Nelson St,1.5,1,650 ,-79.388413,43.64904
198,4295,133 Florence St.,3,2.5,,-79.433633,43.645374
200,2450,100 Roehampton Avenue,2,1,,-79.395979,43.708523
202,2049,1602 Bathurst,1,1,570 ,-79.420761,43.688606
204,2446,155 Wellesley Street East,1,1,710 ,-79.375318,43.666301
205,2159,2730 Yonge Street,0,1,705 ,-79.400886,43.718621
207,2600,25 Telegram Mews,1.5,1,550 ,-79.394506,43.641052
208,2400,126 Simcoe St,1,1,550 ,-79.387295,43.648973
209,2800,51 East Liberty St,1.5,1,750 ,-79.412014,43.638784
210,2800,208 Queens Quay W,1.5,1,650 ,-79.381041,43.64002
211,2750,8 Mercer St,1.5,1,550 ,-79.389908,43.646006
212,2700,50 Ordnance St,1.5,2,750 ,-79.409724,43.639701
213,2400,69 Lynn Williams St,1,1,500 ,-79.415557,43.638848
214,2095,30 Gloucester Street,1,1,500 ,-79.383792,43.667351
215,2500,39 Queens Quay E,1,1,650 ,-79.371987,43.641607
216,2500,197 Yonge St,1,1,550 ,-79.379472,43.653283
217,2485,55 Front St E,1,1,550 ,-79.374069,43.648038
218,2925,70 Temperance Street,2,1,776 ,-79.382508,43.650763
219,2199,245 Howland Avenue,1,1,,-79.41135,43.672957
220,3050,158 Front Street East,2,2,694 ,-79.368682,43.650384
222,2245,185 Roehampton Avenue,1.5,1,600 ,-79.392823,43.709075
224,2395,310-312 Lonsdale Road,1,1,648 ,-79.411199,43.689224
225,2445,357 King Street West,1,1,600 ,-79.392505,43.646109
227,1499,31 Tichester Road,1,1,,-79.419031,43.685434
230,2295,30 Gloucester Street,1.5,1,600 ,-79.383792,43.667351
231,2845,33 Helendale Avenue,2,2,653 ,-79.399581,43.70886
233,2195,82 Warren Road,1,1,535 ,-79.406501,43.685397
235,2800,35 Bastion St,1.5,1,650 ,-79.403619,43.637218
236,2195,2700 Bathurst Street,1,1,618 ,-79.428149,43.709075
237,2495,30 Roehampton Avenue,1,1,650 ,-79.397498,43.708472
238,2325,115 Blue Jays Way,1,1,456 ,-79.39252,43.645694
239,3225,889 Bay Street,2,2,1400 ,-79.388236,43.674507
241,2099,608 Church Street,0,1,,-79.382082,43.668038
243,2399,107 Redpath Avenue,1,1,,-79.392111,43.707271
245,1949,90 Jameson Avenue,1,1,622 ,-79.43527,43.634354
246,2950,16 Yonge St,1.5,2,750 ,-79.376001,43.643577
247,2350,66 Broadway Ave,1,1,709 ,-79.395343,43.710677
250,2695,1169 Queen St,1.5,1,650 ,-79.425814,43.642255
251,2650,15 Fort York Blvd W,1,1,550 ,-79.393729,43.639851
252,2600,505 Richmond St W,1,1,500 ,-79.399502,43.647141
256,2699,620 Northcliffe Boulevard,2,1,747 ,-79.446872,43.693303
259,2149,96 Jameson Avenue,1,1,721 ,-79.435445,43.634741
261,3050,525 Adelaide St W,1.5,2,650 ,-79.402356,43.645218
262,2400,375 King St W,1,1,550 ,-79.393083,43.645749
263,2400,403 Church St,1,1,500 ,-79.379145,43.66227
264,2650,49 East Liberty St,1.5,1,650 ,-79.412009,43.638918
269,3400,700 King St W,2,2,850 ,-79.403314,43.64406
270,3350,25 Lower Simcoe St,2,2,850 ,-79.383268,43.641428
273,2400,181 Dundas St E,1.5,1,550 ,-79.374097,43.657017
274,3400,60 Tannery Rd,2,2,850 ,-79.355185,43.65363
278,3985,102-116 Pacific Ave,3,2.5,,-79.464974,43.656286
283,2455,525 Richmond Street West,1,1,,-79.400071,43.646939
284,4413,50 Prince Arthur Avenue,2,1.5,,-79.398454,43.669415
287,2625,27 Thorncliffe Park Drive,2,1,,-79.346573,43.703191
288,2250,368 Eglinton Ave East,1,1,750 ,-79.386848,43.709461
291,2970,5 Mariner Terr,1.5,1,650 ,-79.390417,43.639736
292,2700,85 Wood St,1.5,1,650 ,-79.379261,43.662768
298,2500,77 Shuter St,1.5,1,500 ,-79.375127,43.654991
300,2750,352 Front St W,1.5,1.5,750 ,-79.392451,43.643353
