,price,address,beds,baths,size,longitude,latitude
9,2995,34 Noble Street,1,1,831 ,-79.431342,43.642877
22,2608,697 Eglinton Avenue West,2,1,640 ,-79.420022,43.701948
23,3204,153 Vaughan Road,3,1,912 ,-79.421545,43.685423
24,2104,448 Spadina Road,1,1,,-79.413197,43.689322
25,1920,140 Springhurst Avenue,0.5,1,,-79.43658,43.63571
32,3780,555 College St.,2,2,,-79.411972,43.655301
56,2830,3000 Yonge Street,2,1,,-79.402035,43.723761
60,1950,46 Montye Avenue,0,1,,-79.488156,43.659386
62,3219,65 Forest Manor Rd,3,1,1188 ,-79.343959,43.773429
67,2400,310 Roncesvalles Avenue,1,1,,-79.450425,43.6492
69,2175,2373 Bloor Street West,1,1,,-79.482382,43.649661
78,1950,196 Eglinton Avenue East,1,1,447 ,-79.392293,43.708335
81,3100,90 Stadium Road,1.5,1,675 ,-79.401252,43.634698
82,1870,1295 Bayview Avenue,0,1,350 ,-79.371679,43.69787
83,3500,70 Temperance Street,2,2,700 ,-79.382148,43.65053
84,2000,155 Legion Road North,1,2,750 ,-79.488411,43.62397
85,2400,28 Freeland Street,1,1,599 ,-79.373846,43.643907
86,2900,1169 Queen Street West,1.5,1,700 ,-79.425814,43.642255
89,2250,263 Russell Hill Road,1,1,534 ,-79.40713,43.68511
90,2200,83 Isabella Street,1,1,500 ,-79.381314,43.668388
92,2600,263 Dixon Road,2,1,916 ,-79.547743,43.695266
95,2080,160 Huron St,1,1,385 ,-79.397963,43.65709
97,5555,30 Soudan Ave,1,1,,-79.396486,43.704668
98,2525,130 Parkway Forest Drive,1,1,605 ,-79.343416,43.77498
99,2350,40 Delisle Avenue,0,1,489 ,-79.396751,43.688954
102,2295,335 Van Horne Avenue,1,1,600 ,-79.349744,43.787979
104,2385,500 Scarlett Road,1,1,750 ,-79.512807,43.685945
105,2550,2493 Lakeshore Blvd. West,2,1,770 ,-79.488147,43.612426
107,2395,530 Scarlett Road,1,1,676 ,-79.513178,43.686959
108,2825,225 Van Horne Ave.,2,1,798 ,-79.35214,43.787014
109,2250,2301 Lakeshore Boulevard West,1,1,550 ,-79.486581,43.618688
110,2455,125 Parkway Forest Drive,1,1,710 ,-79.343234,43.77491
114,2745,1000 Mount Pleasant Road,1,1,785 ,-79.392221,43.713163
115,2200,39 Riverwood Parkway,1,1,614 ,-79.490645,43.640389
118,2025,223 Woodbine Ave,1,1,575 ,-79.305671,43.669434
119,2650,2303 Eglinton Ave East,2,1,850 ,-79.271192,43.730627
120,2395,787 Vaughan Rd,2,1,800 ,-79.447926,43.695208
121,3450,36 Castle Frank Road,2,1,1050 ,-79.36972,43.676613
123,2550,35 Canyon Avenue,2,2,1055 ,-79.436835,43.757986
124,2150,322 Eglinton Avenue East,1,1,508 ,-79.388216,43.708817
125,3800,89 McGill Street,2,2,790 ,-79.378253,43.660825
126,2999,247 Symington Avenue,2,1,750 ,-79.450182,43.663895
127,1950,2 12Kingston Road,1,1,,-79.31224,43.668376
128,2295,10 Laidlaw Street,1.5,1,490 ,-79.426653,43.639782
129,3000,1 Foxley St.,2,1.5,,-79.420422,43.647682
130,3399,333 Adelaide St E,1.5,1.5,900 ,-79.368714,43.651655
131,1699,2 Majestic Drive,1,1,700 ,-79.317958,43.896147
133,3999,17 Brookbanks Drive,2,2,1441 ,-79.331373,43.752051
134,1400,641 Vaughan Road,0,1,413 ,-79.441776,43.693232
135,2150,5072 Dundas Street W.,2,1,1050 ,-79.532077,43.645648
136,2550,165 Legion Road North,1,1,,-79.487999,43.624124
