,Bachelor,1 Bedroom,2 Bedroom,3 Bedroom +,Total,
1990 October,454,559,689,842,634,
1991 October,482,592,730,888,672,
1992 October,493,610,755,905,691,a 
1993 October,510,627,773,930,710,a 
1994 October,516,641,785,946,722,a 
1995 October,531,661,805,965,741,a 
1996 October,541,675,819,988,755,a 
1997 October,555,685,822,989,762,a 
1998 October,589,729,881,"1,053",813,a 
1999 October,628,770,916,"1,086",850,a 
2000 October,683,830,979,"1,170",913,a 
2001 October,695,866,"1,027","1,218",954,a 
2002 October,729,891,"1,047","1,257",981,a 
2003 October,731,884,"1,040","1,223",970,a 
2004 October,727,886,"1,052","1,245",980,a 
2005 October,724,888,"1,052","1,248",979,a 
2006 October,740,896,"1,067","1,271",995,a 
2007 October,740,900,"1,061","1,261",992,a 
2008 October,764,927,"1,095","1,293","1,021",a 
2009 October,758,926,"1,096","1,299","1,018",a 
2010 October,777,949,"1,123","1,329","1,048",a 
2011 October,819,977,"1,148","1,356","1,073",a 
2012 October,837,"1,007","1,183","1,411","1,108",a 
2013 October,873,"1,032","1,211","1,461","1,138",a 
2014 October,896,"1,067","1,251","1,466","1,170",a 
2015 October,937,"1,103","1,286","1,516","1,208",a 
2016 October,957,"1,132","1,326","1,525","1,240",a 
2017 October,"1,013","1,194","1,403","1,589","1,308",a 
2018 October,"1,081","1,261","1,468","1,647","1,370",a 
2019 October,"1,142","1,361","1,563","1,730","1,465",a 
2020 October,"1,204","1,421","1,637","1,854","1,536",a 
2021 October,"1,217","1,439","1,680","1,918","1,570",a 
2022 October,"1,306","1,527","1,779","2,018","1,665",a 
,,,,,,a 
Notes,,,,,,a 
"The following letter codes are used to indicate the reliability of the estimates: a - Excellent, b- Very good, c - Good, d - Fair (Use with Caution)",,,,,,
** Data suppressed to protect confidentiality or data not statistically reliable,,,,,,
++ Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0).  (Applies only to % Change of Average Rent Tables).,,,,,,
 - No units exist in the universe for this category,,,,,,
n/a: Not applicable,,,,,,
Source,CMHC Rental Market Survey,,,,,
