,price,address,beds,baths,size
0,2520 - $4650,200 Redpath Avenue,0 - 2,1 - 2,350 - 784 
1,2774 - $4792,25 Selby Street,1 - 3,1 - 2,524 - 1093 
2,3320 - $4405,57 Spadina,1 - 2,1 - 2,602 - 931 
3,2904 - $7562,425 Wellington Street West,1 - 3,1 - 3,507 - 1528 
4,2434 - $7856,450 Front Street West,0 - 3,1 - 3,479 - 1463 
5,2545 - $2775,18 Erskine Ave,1,1,460 - 530 
6,2608,697 Eglinton Avenue West,2,1,640 
7,3204,153 Vaughan Road,3,1,912 
8,2104,448 Spadina Road,1,1,
9,1645 - $1783,1711 Kingston Road,1,1,573 
10,2520 - $4650,200 Redpath Avenue,0 - 2,1 - 2,350 - 784 
11,2774 - $4792,25 Selby Street,1 - 3,1 - 2,524 - 1093 
12,3320 - $4405,57 Spadina,1 - 2,1 - 2,602 - 931 
13,2904 - $7562,425 Wellington Street West,1 - 3,1 - 3,507 - 1528 
14,2434 - $7856,450 Front Street West,0 - 3,1 - 3,479 - 1463 
15,2545 - $2775,18 Erskine Ave,1,1,460 - 530 
16,2608,697 Eglinton Avenue West,2,1,640 
17,3204,153 Vaughan Road,3,1,912 
18,2104,448 Spadina Road,1,1,
19,1645 - $1783,1711 Kingston Road,1,1,573 
20,1737,383 Sherbourne Street,0,1,
21,1508,5 Thorburn Avenue,0.5,1,
22,2287,166 Eastbourne Avenue,2,1,
23,1920,140 Springhurst Avenue,0.5,1,
24,2241 - $2745,701 Eglinton Avenue West,1 - 1.5,1,527 - 843 
25,3204,34 Noble Street,1,1,831 
26,2099 - $3699,2280 Eglinton Ave West,0 - 3,1 - 2,473 - 1021 
27,2211 - $4039,15 Solidarity Way,0 - 2,1 - 2,328 - 780 
28,2346 - $3404,55 Smooth Rose Court,1 - 3,1 - 2,560 - 941 
29,2071 - $3665,235 Bloor Street East,0 - 2,1,326 - 825 
30,6085,53 Widdicombe Hill Boulevard -,3,3.5,3337 
31,2017 - $4605,44 Jackes Avenue,0 - 3,1 - 1.5,402 - 1137 
32,2288 - $3863,1100 King Street West,1 - 2,1 - 2,455 - 1055 
33,2797 - $3859,35 Greenfield Ave.,1 - 2,1 - 2,533 - 933 
34,2667 - $3710,740 Dupont St.,1 - 2,1 - 2,539 - 823 
35,3780 - $4099,555 College St.,2,2,1171 
36,2457 - $3047,410 Dufferin Street,1,1,465 - 609 
37,2350 - $3197,22 John Street,1 - 2,1 - 2,576 - 784 
38,2886 - $3507,123 Parkway Forest Dr.,1 - 2,1 - 2,722 - 882 
39,2813 - $6565,25 Montgomery Avenue,1 - 3,1 - 2,624 - 1151 
40,2585 - $3275,105 Harrison Garden Blvd.,1 - 2,1 - 2,619 - 815 
41,2631 - $3000,15 Roehampton Ave,1 - 2,1 - 2,
42,2302 - $5154,39 Niagara Street,0 - 3,1 - 2,
43,1738 - $2059,4750 Bathurst Street,0 - 1,1,343 - 549 
44,2065 - $2498,35 Tobermory Dr,1 - 2,1,680 - 895 
45,2950,15 Brenthall Avenue - ,2,1,
46,2498 - $2503,1050 Castlefield Avenue,1,1,708 
47,2475 - $5395,480 Front Street West,1 - 3,1 - 2,509 - 1125 
48,2450 - $4995,470 Front Street West,1 - 2.5,1 - 2,491 - 946 
49,1874 - $2934,2837 Yonge Street,0 - 2,1,315 - 704 
50,1946 - $2745,70 Spadina Road,0 - 1,1,352 - 768 
51,2245 - $3016,1225 York Mills Road,1 - 3,1 - 2,497 - 975 
52,2430 - $3770,2376 Dundas Street West,1 - 2,1 - 2,513 - 886 
53,2095 - $2395,1790 Eglinton Avenue East,1 - 2,1,870 
54,2480 - $3555,118 Balliol Street,1 - 2,1 - 2,488 - 797 
55,2085 - $2202,120 Raglan Avenue,1,1,476 
56,2125 - $3005,30 Denton Ave - S,0 - 2,1,491 - 918 
57,2200 - $2750,2575 Danforth Avenue,1 - 2,1,460 - 740 
58,1880 - $2140,23 Lascelles Blvd.,0 - 1,1,
59,2155 - $3470,100 Wellesley Street East,0 - 2,1,325 - 760 
60,2830,3000 Yonge Street,2,1,
61,2237 - $2666,2570 Kingston Road - S,1 - 2,1,650 - 850 
62,2445 - $3825,44 Lillian Street,1 - 2,1 - 2,492 - 773 
63,2450 - $3400,55 Maitland Street,1 - 2,1,500 - 863 
64,2000 - $2500,77 Davisville Avenue,0 - 1,1,427 - 690 
65,1950,46 Montye Avenue,0,1,
66,2385 - $8250,71 Redpath Ave,0 - 3.5,1 - 2.5,452 - 1592 
67,2300 - $3250,45 Dunfield Avenue,0 - 2,1,456 - 869 
68,2300 - $6160,299 Campbell Avenue,0 - 3,1 - 2,454 - 1336 
69,2550 - $6300,25 Ordnance Street,1 - 3,1 - 3.5,478 - 1722 
70,1960 - $2375,33 Davisville Avenue,0 - 1,1,
71,2400,310 Roncesvalles Avenue,1,1,
72,1875 - $1925,1959 Gerrard Street East,0,1,
73,2175,2373 Bloor Street West,1,1,
74,2349 - $2691,"5, 7 & 9 Stag Hill Dr. -",1 - 2,1,713 - 856 
75,1800 - $2800,50 Cordova Avenue -,1 - 3,1 - 2,584 - 1214 
76,1680 - $2400,24 Mabelle Avenue -,0.5 - 2,1 - 2,515 - 1006 
77,2179 - $2379,161 St. George Street,0 - 1,1,
78,2523 - $2880,750 York Mills Rd,1 - 2,1,
79,3112 - $3533,61 Yorkville Avenue,1,1,
80,1950 - $2775,44 Dunfield Ave.,0 - 2,1,
81,2295 - $3595,1101 Bay Street,0 - 2,1,423 - 535 
82,2999,535 The East Mall -,3,1,
83,1975,75 Eastdale Avenue -,1,1,
84,2990 - $7040,215 Lonsdale Road,1 - 2.5,1 - 2.5,583 - 1304 
85,1739 - $22199,2350 - 2360 Dundas Street West,0 - 2,0.5 - 1,400 - 685 
86,2930 - $3500,730 Hillsdale Avenue East,1 - 2,1 - 2,621 - 903 
87,2800,"63, 73, 120 Widdicombe Hill Boulevard -",2,1.5,1100 
88,2625 - $3700,299 The Kingsway,1.5 - 2.5,1 - 2,620 - 1047 
89,1950,196 Eglinton Avenue East,1,1,447 
90,2000 - $3100,252 Victoria Street,0 - 1,1 - 2,362 - 911 
91,2407 - $5877,85 & 95 Thorncliffe Park Drive,1 - 3,1 - 3.5,963 - 2351 
92,2495 - $3395,515 Rosewell Avenue,1 - 2.5,1 - 2,616 - 800 
93,3600,70 Temperance Street,2,2,700 
94,2400,28 Freeland Street,1,1,599 
95,2900,1169 Queen Street West,1.5,1,700 
96,3400,430 Markham Street,1,1,1150 
97,4500,28 Freeland Street,2,2,1400 
98,2406 - $3774,131 Mill Street,1 - 2,1 - 2,483 - 807 
99,5555,30 Soudan Ave,1,1,
100,2350,40 Delisle Avenue,0,1,489 
101,2525,130 Parkway Forest Drive,1,1,605 
102,2135 - $2295,263/273/283 Pharmacy Avenue,1,1,630 - 645 
103,2295,335 Van Horne Avenue,1,1,600 
104,2395,530 Scarlett Road,1,1,676 
105,2265,25 Parkway Forest Drive,1,1,680 
106,2550,2493 Lakeshore Blvd. West,2,1,770 
