,price,address,beds,baths,size,longitude,latitude
6,2608,697 Eglinton Avenue West,2,1,640 ,-79.420022,43.701948
7,3204,153 Vaughan Road,3,1,912 ,-79.421545,43.685423
8,2104,448 Spadina Road,1,1,,-79.413197,43.689322
20,1737,383 Sherbourne Street,0,1,,-79.372976,43.663924
21,1508,5 Thorburn Avenue,0.5,1,,-79.426355,43.635321
22,2287,166 Eastbourne Avenue,2,1,,-79.405005,43.705095
23,1920,140 Springhurst Avenue,0.5,1,,-79.43658,43.63571
25,3204,34 Noble Street,1,1,831 ,-79.431342,43.642877
57,2830,3000 Yonge Street,2,1,,-79.402035,43.723761
61,1950,46 Montye Avenue,0,1,,-79.488156,43.659386
67,2400,310 Roncesvalles Avenue,1,1,,-79.450425,43.6492
69,2175,2373 Bloor Street West,1,1,,-79.482382,43.649661
79,1950,196 Eglinton Avenue East,1,1,447 ,-79.392293,43.708335
82,3600,70 Temperance Street,2,2,700 ,-79.382148,43.65053
83,2400,28 Freeland Street,1,1,599 ,-79.373846,43.643907
84,2900,1169 Queen Street West,1.5,1,700 ,-79.425814,43.642255
85,3400,430 Markham Street,1,1,1150 ,-79.410864,43.660234
86,4500,28 Freeland Street,2,2,1400 ,-79.373846,43.643907
88,5555,30 Soudan Ave,1,1,,-79.396486,43.704668
89,2350,40 Delisle Avenue,0,1,489 ,-79.396751,43.688954
90,2525,130 Parkway Forest Drive,1,1,605 ,-79.343416,43.77498
92,2295,335 Van Horne Avenue,1,1,600 ,-79.349744,43.787979
93,2395,530 Scarlett Road,1,1,676 ,-79.513178,43.686959
94,2265,25 Parkway Forest Drive,1,1,680 ,-79.341673,43.769318
95,2550,2493 Lakeshore Blvd. West,2,1,770 ,-79.488147,43.612426
97,2745,1000 Mount Pleasant Road,1,1,785 ,-79.392221,43.713163
99,2895,5 Brockley Drive,2,1,915 ,-79.262766,43.753081
103,2215,125 Parkway Forest Drive,1,1,710 ,-79.343234,43.77491
104,2250,2301 Lakeshore Boulevard West,1,1,550 ,-79.486581,43.618688
105,2825,225 Van Horne Ave.,2,1,798 ,-79.35214,43.787014
108,2650,2303 Eglinton Ave East,2,1,850 ,-79.271192,43.730627
109,2395,787 Vaughan Rd,2,1,800 ,-79.447926,43.695208
112,2550,35 Canyon Avenue,2,2,1055 ,-79.436835,43.757986
113,2625,305 Roehampton Avenue,1.5,1,615 ,-79.388663,43.709622
114,2125,322 Eglinton Avenue East,1,1,508 ,-79.388216,43.708817
115,2850,101 Erskine Avenue,2,2,839 ,-79.395448,43.711879
118,1317,Jane and Weston,0,1,450 ,-79.509008,43.691542
120,4350,131 Kenilworth,3,1.5,980 ,-79.302114,43.670448
121,3700,197 Hallam Street,2,2,840 ,-79.43431,43.666499
122,3700,197 Hallam Street,2,2,800 ,-79.43431,43.666499
123,2250,197 Hallam Street,1,1,400 ,-79.43431,43.666499
124,1750,197 Hallam Street,1,1,340 ,-79.43431,43.666499
125,2350,197 Hallam Street,1,1,400 ,-79.43431,43.666499
128,2980,121 Lower Sherbourne Street,2,2,675 ,-79.367039,43.649504
129,3050,251 Jarvis Street,2,1,577 ,-79.374615,43.657546
130,2200,39 Riverwood Parkway,1,1,614 ,-79.490645,43.640389
133,2545,38 Niagara Street,1,1,550 ,-79.401584,43.642148
134,2079,3388 Bathurst Street /  2 Khedive Avenue,1,1,650 ,-79.43184,43.726303
139,2425,7 Bishop Avenue,1,1,453 ,-79.414385,43.781691
146,2250,77 Shuter St,1,1,380 ,-79.375298,43.65485
147,3000,1 Foxley St.,2,1.5,,-79.420422,43.647682
148,3700,15 Lower Jarvis Street,2,2,,-79.369235,43.644951
150,3600,150 Logan Avenue,2.5,2,840 ,-79.342099,43.658011
151,2450,28 Ted Rogers Way,1,1,557 ,-79.380257,43.670406
152,2365,829 Pape Ave.,1,1,,-79.345974,43.682553
154,2400,8 Park Road,1,1,570 ,-79.384691,43.671302
156,3500,15 Arnold Ave.,3,3.5,,-79.487712,43.682446
157,2875,135 Fenelon Drive,3,1.5,1150 ,-79.338018,43.762997
158,3000,9 Jack Wiggins Lane,4,3,2136 ,-79.496411,43.768467
159,2995,39 Roehampton Avenue,2,2,660 ,-79.397135,43.708128
160,2950,252 Thistle Down Boulevard (Main),3,1,,-79.556109,43.738648
161,2700,2212 Lake Shore Boulevard West,1.5,1,,-79.482476,43.62258
162,3650,25 Maitland Street,2,2,,-79.383028,43.663809
163,2400,30 Baseball Place,1,1,,-79.351456,43.657826
