,longitude,latitude,address
0,-79.393914,43.710377,200 Redpath Avenue
1,-79.377195,43.671104,25 Selby Street
2,-79.394547,43.644891,57 Spadina
3,-79.3961,43.643465,425 Wellington Street West
4,-79.396621,43.64242,450 Front Street West
5,-79.398682,43.711279,18 Erskine Ave
6,-79.420022,43.701948,697 Eglinton Avenue West
7,-79.421545,43.685423,153 Vaughan Road
8,-79.413197,43.689322,448 Spadina Road
9,-79.262932,43.692198,1711 Kingston Road
10,-79.393914,43.710377,200 Redpath Avenue
11,-79.377195,43.671104,25 Selby Street
12,-79.394547,43.644891,57 Spadina
13,-79.3961,43.643465,425 Wellington Street West
14,-79.396621,43.64242,450 Front Street West
15,-79.398682,43.711279,18 Erskine Ave
16,-79.420022,43.701948,697 Eglinton Avenue West
17,-79.421545,43.685423,153 Vaughan Road
18,-79.413197,43.689322,448 Spadina Road
19,-79.262932,43.692198,1711 Kingston Road
20,-79.372976,43.663924,383 Sherbourne Street
21,-79.426355,43.635321,5 Thorburn Avenue
22,-79.405005,43.705095,166 Eastbourne Avenue
23,-79.43658,43.63571,140 Springhurst Avenue
24,-79.420544,43.701819,701 Eglinton Avenue West
25,-79.431342,43.642877,34 Noble Street
26,-79.463348,43.692888,2280 Eglinton Ave West
27,-79.412303,43.638817,15 Solidarity Way
28,-79.333359,43.774431,55 Smooth Rose Court
29,-79.380831,43.671323,235 Bloor Street East
30,-79.552503,43.678128,53 Widdicombe Hill Boulevard
31,-79.391121,43.685763,44 Jackes Avenue
32,-79.422656,43.640104,1100 King Street West
33,-79.409513,43.763583,35 Greenfield Ave.
34,-79.423707,43.671502,740 Dupont St.
35,-79.411972,43.655301,555 College St.
36,-79.428961,43.643157,410 Dufferin Street
37,-79.517387,43.701718,22 John Street
38,-79.342763,43.77464,123 Parkway Forest Dr.
39,-79.399749,43.709298,25 Montgomery Avenue
40,-79.405059,43.757593,105 Harrison Garden Blvd.
41,-79.397861,43.707943,15 Roehampton Ave
42,-79.400865,43.641574,39 Niagara Street
43,-79.44204,43.767885,4750 Bathurst Street
44,-79.509711,43.761365,35 Tobermory Dr
45,-79.440099,43.77509,15 Brenthall Avenue
46,-79.450588,43.700993,1050 Castlefield Avenue
47,-79.397139,43.641864,480 Front Street West
48,-79.397211,43.642214,470 Front Street West
49,-79.400815,43.719937,2837 Yonge Street
50,-79.405694,43.670493,70 Spadina Road
51,-79.332818,43.75941,1225 York Mills Road
52,-79.451842,43.657961,2376 Dundas Street West
53,-79.302957,43.724783,1790 Eglinton Avenue East
54,-79.392896,43.698903,118 Balliol Street
55,-79.421005,43.686516,120 Raglan Avenue
56,-79.287735,43.693903,30 Denton Ave
57,-79.300304,43.688132,2575 Danforth Avenue
58,-79.398977,43.695633,23 Lascelles Blvd.
59,-79.378614,43.666223,100 Wellesley Street East
60,-79.402035,43.723761,3000 Yonge Street
61,-79.246664,43.713527,2570 Kingston Road
62,-79.393608,43.705655,44 Lillian Street
63,-79.381586,43.664225,55 Maitland Street
64,-79.393772,43.698539,77 Davisville Avenue
65,-79.488156,43.659386,46 Montye Avenue
66,-79.391858,43.706028,71 Redpath Ave
67,-79.394541,43.706081,45 Dunfield Avenue
68,-79.44974,43.665602,299 Campbell Avenue
69,-79.409636,43.639318,25 Ordnance Street
70,-79.394824,43.698404,33 Davisville Avenue
71,-79.450425,43.6492,310 Roncesvalles Avenue
72,-79.309993,43.681052,1959 Gerrard Street East
73,-79.482382,43.649661,2373 Bloor Street West
74,-79.310971,43.703292,5
75,-79.526094,43.647118,50 Cordova Avenue
76,-79.527111,43.645912,24 Mabelle Avenue
77,-79.40042,43.670338,161 St. George Street
78,-79.361538,43.753879,750 York Mills Rd
79,-79.390445,43.67114,61 Yorkville Avenue
80,-79.394633,43.70512,44 Dunfield Ave.
81,-79.388503,43.667709,1101 Bay Street
82,-79.562694,43.652304,535 The East Mall
83,-79.300296,43.695156,75 Eastdale Avenue
84,-79.403584,43.690473,215 Lonsdale Road
85,-79.452621,43.657047,2350 - 2360 Dundas Street West
86,-79.37669,43.707879,730 Hillsdale Avenue East
87,-79.554712,43.677602,63
